image,race_scores,obese_scores
114.png,"[0.87671447 0.00106153 0.02855442 0.04486798 0.0459917  0.00125695
 0.00155288]","[0.22179271280765533, 0.6826387047767639, 0.09556857496500015]"
115.png,"[5.15645510e-03 2.06481913e-04 5.74644748e-03 8.62423062e-01
 1.24793984e-01 2.63668830e-04 1.40993670e-03]","[0.9998281002044678, 1.4455181371886283e-06, 0.00017040784587152302]"
116.png,"[9.9781698e-01 5.9470045e-07 5.1991350e-04 2.2617816e-05 1.3821953e-05
 3.7637841e-05 1.5883701e-03]","[0.4580304026603699, 0.031245028600096703, 0.5107245445251465]"
117.png,"[0.05284708 0.3987706  0.47125655 0.0035591  0.00968393 0.02790215
 0.0359806 ]","[0.023318037390708923, 0.9105352163314819, 0.06614674627780914]"
118.png,"[0.03875174 0.08958329 0.70502335 0.00595681 0.06068639 0.04936237
 0.05063595]","[0.1334158331155777, 0.05787106975913048, 0.8087130784988403]"
119.png,"[6.3459724e-01 1.7125883e-04 1.6277300e-01 1.1400650e-01 4.6313837e-02
 1.1035039e-02 3.1103188e-02]","[0.00030013389186933637, 0.9909398555755615, 0.00876004621386528]"
120.png,"[5.3791575e-02 1.1905788e-04 9.0570444e-01 2.7258468e-03 9.9049332e-03
 1.7326033e-02 1.0428144e-02]","[0.9953291416168213, 0.003858952783048153, 0.0008119781268760562]"
121.png,"[0.14864817 0.00134146 0.04347407 0.04486321 0.07803143 0.01064984
 0.6729919 ]","[0.9504803419113159, 0.0003164945519529283, 0.049203142523765564]"
122.png,"[4.4618152e-02 4.9597648e-04 5.3726989e-01 1.7747807e-04 6.8314379e-04
 2.3886150e-01 1.7789383e-01]","[0.2360917180776596, 0.6692493557929993, 0.09465900808572769]"
123.png,"[0.06707441 0.00228926 0.6127936  0.00105491 0.07725329 0.21443148
 0.02510304]","[0.20745761692523956, 0.706078052520752, 0.08646438270807266]"
124.png,"[9.9890995e-01 2.5508453e-07 8.1654704e-05 1.2560587e-04 3.9374641e-05
 3.3709653e-06 8.3985424e-04]","[0.8039630651473999, 0.11369457840919495, 0.08234239369630814]"
125.png,"[1.7817078e-05 9.9862891e-01 8.7313057e-04 4.2630742e-05 9.7051685e-05
 3.3816230e-04 2.3169555e-06]","[0.6995561122894287, 0.2999500632286072, 0.0004938459605909884]"
126.png,"[6.8209670e-04 3.1331697e-04 8.1487186e-03 4.8186022e-01 5.0861734e-01
 3.4739112e-04 3.1009586e-05]","[0.0009087243233807385, 0.008305284194648266, 0.990786075592041]"
127.png,"[3.3205014e-03 9.3804283e-07 1.5605233e-03 9.7350520e-01 2.1326529e-02
 1.6210963e-04 1.2420015e-04]","[0.0012938419822603464, 0.2658834159374237, 0.7328227162361145]"
128.png,"[0.06698384 0.00355882 0.01813489 0.6014962  0.28149506 0.00608929
 0.02224192]","[0.3568153977394104, 0.3018363416194916, 0.341348260641098]"
